| p                                          | propLabel                                                               | eff   | notes |
| http://www.wikidata.org/prop/direct/P10226 | Archivio Storico dell'Università degli Studi di Cagliari person ID      | 16    |       |
| http://www.wikidata.org/prop/direct/P10608 | FID performing arts ID                                                  | 16    |       |
| http://www.wikidata.org/prop/direct/P4789  | Who's Who UK ID                                                         | 16    |       |
| http://www.wikidata.org/prop/direct/P3782  | Artnet artist ID                                                        | 16    |       |
| http://www.wikidata.org/prop/direct/P737   | influenced by                                                           | 16    |       |
| http://www.wikidata.org/prop/direct/P13019 | RedBA Granada authority ID                                              | 15    |       |
| http://www.wikidata.org/prop/direct/P1303  | instrument                                                              | 15    |       |
| http://www.wikidata.org/prop/direct/P9842  | MART catalog person ID                                                  | 15    |       |
| http://www.wikidata.org/prop/direct/P9171  | RILM ID                                                                 | 15    |       |
| http://www.wikidata.org/prop/direct/P97    | noble title                                                             | 15    |       |
| http://www.wikidata.org/prop/direct/P3479  | Omni topic ID                                                           | 15    |       |
| http://www.wikidata.org/prop/direct/P443   | pronunciation audio                                                     | 15    |       |
| http://www.wikidata.org/prop/direct/P5821  | ArhivX LOD ID                                                           | 14    |       |
| http://www.wikidata.org/prop/direct/P611   | religious order                                                         | 14    |       |
| http://www.wikidata.org/prop/direct/P496   | ORCID iD                                                                | 14    |       |
| http://www.wikidata.org/prop/direct/P4585  | Accademia della Crusca ID                                               | 14    |       |
| http://www.wikidata.org/prop/direct/P4200  | Christie's creator ID                                                   | 14    |       |
| http://www.wikidata.org/prop/direct/P1871  | CERL Thesaurus ID                                                       | 14    |       |
| http://www.wikidata.org/prop/direct/P53    | family                                                                  | 13    |       |
| http://www.wikidata.org/prop/direct/P10314 | Archivio Biografico Comunale (Palermo) ID                               | 13    |       |
| http://www.wikidata.org/prop/direct/P2354  | has list                                                                | 13    |       |
| http://www.wikidata.org/prop/direct/P9438  | Europalexikon ID                                                        | 13    |       |
| http://www.wikidata.org/prop/direct/P8290  | Archivio Storico Ricordi person ID                                      | 13    |       |
| http://www.wikidata.org/prop/direct/P6868  | Hoopla artist ID                                                        | 13    |       |
| http://www.wikidata.org/prop/direct/P8879  | Kinorium person ID                                                      | 12    |       |
| http://www.wikidata.org/prop/direct/P3794  | Dictionary of Sydney ID                                                 | 12    |       |
| http://www.wikidata.org/prop/direct/P8795  | Diamond Catalog ID for persons and organisations                        | 12    |       |
