| object                                    | Postion Held                                                                                                                         | eff |
| http://www.wikidata.org/entity/Q55087291  | ministro senza portafoglio per la solidarieta' sociale della Repubblica Italiana                                                     | 1   |
| http://www.wikidata.org/entity/Q3657214   | Capo provvisorio dello Stato                                                                                                         | 1   |
| http://www.wikidata.org/entity/Q371909    | prefetto                                                                                                                             | 1   |
| http://www.wikidata.org/entity/Q3773786   | Governo Andreotti IV                                                                                                                 | 1   |
| http://www.wikidata.org/entity/Q37990805  | ministro dell'Italia occupata                                                                                                        | 1   |
| http://www.wikidata.org/entity/Q37991547  | ministro dell'assistenza post-bellica del Regno d'Italia                                                                             | 1   |
| http://www.wikidata.org/entity/Q37993558  | ministro per l'Assemblea Costituente del Regno d'Italia                                                                              | 1   |
| http://www.wikidata.org/entity/Q37993567  | ministro per il commercio con l'estero del Regno d'Italia                                                                            | 1   |
| http://www.wikidata.org/entity/Q37994042  | ministro per la Consulta nazionale del Regno d'Italia                                                                                | 1   |
| http://www.wikidata.org/entity/Q3911023   | presidente della Regione Siciliana                                                                                                   | 1   |
|                                           |                                                                                                                                      |     |
